no,name,price,asset_url,link
1,Onitsuka California 78 EX 'Black OatMeal' ORIGINAL - 36,Rp699.000,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/3/3/f0f6bb3d-2304-4831-8fa4-8ee4112bc4ab.jpg.webp?ect=4g,https://www.tokopedia.com/onitsukaindonesia/onitsuka-california-78-ex-black-oatmeal-original-1730949373460120918?extParam=ivf%3Dfalse%26keyword%3Donitsuka&src=topads
2,Sepatu Onitsuka Tiger Mexico 66 Balerina Black White,Rp1.499.000,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/3/6/faff6e97-0028-495d-ad66-8570f81e35c6.jpg.webp?ect=4g,https://www.tokopedia.com/onitsuka-official/sepatu-onitsuka-tiger-mexico-66-balerina-black-white-1730966531610806251?extParam=ivf%3Dfalse%26keyword%3Donitsuka&src=topads
3,Sepatu Onitsuka Tiger GSM Cream Navy,Rp679.000,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/4/16/5365f9af-c56a-4998-b836-65892c946b6d.jpg.webp?ect=4g,https://www.tokopedia.com/rakicksco/sepatu-onitsuka-tiger-gsm-cream-navy-1731175242327295158?extParam=ivf%3Dfalse%26keyword%3Donitsuka&src=topads
4,Srpatu Onitsuka Tiger Mexico 66 Balerina White Pink,Rp1.499.000,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/3/6/fdfa409a-5c89-4413-b0d5-155dda2c2dd0.jpg.webp?ect=4g,https://www.tokopedia.com/onitsuka-official/srpatu-onitsuka-tiger-mexico-66-balerina-white-pink-1730966531800598507?extParam=ivf%3Dfalse%26keyword%3Donitsuka&src=topads
5,Onitsuka Tiger Slip on Tokuten Beige Green 100% Original Sepatu Slip on Pria Sepatu Slip on Wanita Sepatu Slip on Original Onitsuka Tiger Original Official Store,Rp1.289.000,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/3/12/b5e3bb79-bf9a-4282-a1f6-271955e17a4c.png.webp?ect=4g,https://www.tokopedia.com/doskisneakers/onitsuka-tiger-slip-on-tokuten-beige-green-100-original-sepatu-slip-on-pria-sepatu-slip-on-wanita-sepatu-slip-on-original-onitsuka-tiger-original-official-store-1731006394492224741?extParam=ivf%3Dfalse%26keyword%3Donitsuka&src=topads
6,Sepatu Onitsuka California 78 Ex Black White Free Kaos Kaki,Rp500.000,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/1/13/0250d190-5baf-4168-8488-73f206fae925.jpg.webp?ect=4g,https://www.tokopedia.com/bekasijawabarat/sepatu-onitsuka-california-78-ex-black-white-free-kaos-kaki-black-white-36-5f402?extParam=ivf%3Dfalse%26keyword%3Donitsuka%26search_id%3D202504300323102B8796CF51771C3D3JOD%26src%3Dsearch
7,ONITSUKA DELEGATION Black/White ORIGINAL 100%,Rp999.000,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/12/1/f06d54f3-b58b-4aa1-830c-93ef45304398.jpg.webp?ect=4g,https://www.tokopedia.com/wams-footwear/onitsuka-delegation-black-white-original-100-40-70d8f?extParam=ivf%3Dfalse%26keyword%3Donitsuka%26search_id%3D202504300323102B8796CF51771C3D3JOD%26src%3Dsearch
8,Sepatu Wanita Onitsuka Tlger Mexico 66 Disney White Vietnam ORIGINAL,Rp636.909,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/12/9/2070ca92-9c61-43f9-9c2f-8cb0e1da5286.jpg.webp?ect=4g,https://www.tokopedia.com/onitsukatigerjakarta/sepatu-wanita-onitsuka-tlger-mexico-66-disney-white-vietnam-original?extParam=ivf%3Dfalse%26keyword%3Donitsuka%26search_id%3D202504300323102B8796CF51771C3D3JOD%26src%3Dsearch
9,Sandal Onitsuka Tiger Rebilac Sandal Olive Green Original,Rp3.400.000,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/5/11/cc7eca7f-c8a9-4dd6-ac21-4fe0af6c34b9.jpg.webp?ect=4g,https://www.tokopedia.com/tambora-stuff/sandal-onitsuka-tiger-rebilac-sandal-olive-green-original-37-23-cm-2b52c?extParam=ivf%3Dfalse%26keyword%3Donitsuka%26search_id%3D202504300323102B8796CF51771C3D3JOD%26src%3Dsearch
10,ONITSUKA DENTIGRE SANDAL BLACK UNISEX,Rp900.000,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/11/19/d1580432-9a89-438c-ba71-a43e10d67349.jpg.webp?ect=4g,https://www.tokopedia.com/asliori/onitsuka-dentigre-sandal-black-unisex-1731034673330423220?extParam=ivf%3Dfalse%26keyword%3Donitsuka%26search_id%3D202504300323102B8796CF51771C3D3JOD%26src%3Dsearch
11,Onit Mexico 66 Slip On White Dark Blue 100% ORIGINAL GUARANTEE,Rp499.000,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/19/1ea77107-3716-4bb2-b460-afcd74b919aa.jpg.webp?ect=4g,https://www.tokopedia.com/onitsukaauthentic/onit-mexico-66-slip-on-white-dark-blue-100-original-guarantee-36-88098?extParam=ivf%3Dfalse%26keyword%3Donitsuka&src=topads
12,Sepatu Onitsuka Tiger Moage Red Gradasi White - 36,Rp1.779.000,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/3/10/330e7393-52f3-4e5a-87b3-1db349dedf93.jpg.webp?ect=4g,https://www.tokopedia.com/onitsuka-official/sepatu-onitsuka-tiger-moage-red-gradasi-white-1730988625873045483?extParam=ivf%3Dfalse%26keyword%3Donitsuka&src=topads
13,Onit Tiger Mexico66 Slip On Leather Full Black 100% ORIGINAL GUARANTEE,Rp799.000,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/1/10/e333e015-dac8-4b1f-9b64-3930d8b6b0e1.jpg.webp?ect=4g,https://www.tokopedia.com/onitsukaauthentic/onit-tiger-mexico66-slip-on-leather-full-black-100-original-guarantee-37-8076b?extParam=ivf%3Dfalse%26keyword%3Donitsuka&src=topads
14,ONITSUKA TIGERR MEXICO66 ORIGINAL LEATHER/ ALL BLACK/AUTHENTIC 100%,Rp1.140.000,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/10/19/33eead1a-3f9d-43ed-a2e5-e22b397e11a4.jpg.webp?ect=4g,https://www.tokopedia.com/onitsukatigerindonesian/onitsuka-tigerr-mexico66-original-leather-all-black-authentic-100-43-5-b6d95?extParam=ivf%3Dfalse%26keyword%3Donitsuka&src=topads
15,Onit Tiger Japan Deluxe Dark Blue Red 100% ORIGINAL GUARANTEE,Rp899.000,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/11/29/c68be82b-aca7-44fb-9052-99666fc2f8a8.jpg.webp?ect=4g,https://www.tokopedia.com/onitsukaauthentic/onit-tiger-japan-deluxe-dark-blue-red-100-original-guarantee-45-5480b?extParam=ivf%3Dfalse%26keyword%3Donitsuka&src=topads
16,Sandal Onitsuka Mexico 66 TGRS Crystal Pink Ballet,Rp3.000.000,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/3/25/10e8dcdb-51cd-4b11-a2f0-5229cd7c67a4.jpg.webp?ect=4g,https://www.tokopedia.com/tambora-stuff/sandal-onitsuka-mexico-66-tgrs-crystal-pink-ballet-1731046701231802224?extParam=ivf%3Dfalse%26keyword%3Donitsuka%26search_id%3D202504300323102B8796CF51771C3D3JOD%26src%3Dsearch
17,Sepatu Onitsuka Tlger Mexico 66 Japan Nippon Made White ORIGINAL,Rp799.900,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/12/11/0b4e87ef-d47a-49ff-8145-850e05ad054d.jpg.webp?ect=4g,https://www.tokopedia.com/onitsukatigerjakarta/sepatu-onitsuka-tlger-mexico-66-japan-nippon-made-white-original?extParam=ivf%3Dfalse%26keyword%3Donitsuka%26search_id%3D202504300323102B8796CF51771C3D3JOD%26src%3Dsearch
18,Sepatu Onitsuka Tlger Mexico66 White Light Blue ORIGINAL Free Paperbag,Rp699.900,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/12/9/39e83679-70a7-42d9-9bdd-8263a7c3df0e.jpg.webp?ect=4g,https://www.tokopedia.com/onitsukatigerjakarta/sepatu-onitsuka-tlger-mexico66-white-light-blue-original-free-paperbag?extParam=ivf%3Dfalse%26keyword%3Donitsuka%26search_id%3D202504300323102B8796CF51771C3D3JOD%26src%3Dsearch
19,ONITSUKA SERRANO CL BLACK 1183B886-001,Rp799.900,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/6/17/a4ce55b1-e51e-42a5-862d-2648cb8bfa8f.jpg.webp?ect=4g,https://www.tokopedia.com/asliori/onitsuka-serrano-cl-black-1183b886-001-36-22-5cm-472e4?extParam=ivf%3Dfalse%26keyword%3Donitsuka%26search_id%3D202504300323102B8796CF51771C3D3JOD%26src%3Dsearch
20,Bantalan Insole Kaki Onitsuka Foam Size 34 35 36 37 37.5 38 39 40 40.5 41 42 42.5 43 44 44.5 45 45.5 - Dasar Putih logo,Rp59.900,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/1/8/27439832-037b-470e-9c14-738cada1bb5d.jpg.webp?ect=4g,https://www.tokopedia.com/senibersama/bantalan-insole-kaki-onitsuka-foam-size-34-35-36-37-37-5-38-39-40-40-5-41-42-42-5-43-44-44-5-45-45-5-dasar-putih-logo-1-gold-35-be42e?extParam=ivf%3Dfalse%26keyword%3Donitsuka%26search_id%3D202504300323102B8796CF51771C3D3JOD%26src%3Dsearch
21,ONITSUKA TOKUTEN BLUE SECOND,Rp250.000,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/10/8/ae33ddc8-8196-4939-8475-66684721466d.jpg.webp?ect=4g,https://www.tokopedia.com/lookover/onitsuka-tokuten-blue-second?extParam=ivf%3Dfalse%26keyword%3Donitsuka%26search_id%3D202504300323102B8796CF51771C3D3JOD%26src%3Dsearch
22,ONITSUKA MEXICO 66 Airy Green/Verdigris Green ORIGINAL 100%,Rp959.000,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/5/16/64536d92-daef-4ab2-89dd-5506ab69a0e5.jpg.webp?ect=4g,https://www.tokopedia.com/wams-footwear/onitsuka-mexico-66-airy-green-verdigris-green-original-100-44-5-28-25cm-73943?extParam=ivf%3Dfalse%26keyword%3Donitsuka%26search_id%3D202504300323102B8796CF51771C3D3JOD%26src%3Dsearch
23,Sepatu Onitsuka Original Japan Super Deluxe Isetan Shinjuku,Rp1.199.900,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/12/11/f12c2a45-d849-4474-9337-0043af0a918c.jpg.webp?ect=4g,https://www.tokopedia.com/onitsukatigerjakarta/sepatu-onitsuka-original-japan-super-deluxe-isetan-shinjuku?extParam=ivf%3Dfalse%26keyword%3Donitsuka%26search_id%3D202504300323102B8796CF51771C3D3JOD%26src%3Dsearch
24,ONITSUKA EDR 78 Oatmeal/Hiking Green ORIGINAL 100%,Rp999.000,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/11/15/2ab9ac1b-e6b1-495b-b627-815da02a3c99.jpg.webp?ect=4g,https://www.tokopedia.com/wams-footwear/onitsuka-edr-78-oatmeal-hiking-green-original-100-44-76e2f?extParam=ivf%3Dfalse%26keyword%3Donitsuka%26search_id%3D202504300323102B8796CF51771C3D3JOD%26src%3Dsearch
25,Sepatu Onitsuka Tiger Original Mexico 66 Full Black,Rp699.000,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/9/25/fa77e76e-f5ec-41d5-a5fd-14b57c966411.jpg.webp?ect=4g,https://www.tokopedia.com/onitsukatigerofficial1/sepatu-onitsuka-tiger-original-mexico-66-full-black-full-black-36-d2376?extParam=ivf%3Dfalse%26keyword%3Donitsuka%26search_id%3D202504300323102B8796CF51771C3D3JOD%26src%3Dsearch
26,Sepatu Onitsuka Tiger Moage Yellow Orange - 37,Rp1.779.000,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/3/10/691ed5da-321b-472a-8b0e-3aa1a9e80436.jpg.webp?ect=4g,https://www.tokopedia.com/onitsuka-official/sepatu-onitsuka-tiger-moage-yellow-orange-1730988614524372971?extParam=ivf%3Dfalse%26keyword%3Donitsuka&src=topads
27,0nitsuka Tiger Nippon Made In Japan Original Leather/Brown,Rp549.000,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/6/25/43fb9bd3-6c41-4ad2-8f84-d2f8ef53443c.jpg.webp?ect=4g,https://www.tokopedia.com/onitsukatiger-/0nitsuka-tiger-nippon-made-in-japan-original-leather-brown-41-bd489?extParam=ivf%3Dfalse%26keyword%3Donitsuka&src=topads
28,Onitsuka Tokuten 'White Navy Gum' ORIGINAL - 36,Rp699.000,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/3/3/29b17797-f717-4925-b130-9b1a25046426.jpg.webp?ect=4g,https://www.tokopedia.com/onitsukaindonesia/onitsuka-tokuten-white-navy-gum-original-1730949172131956054?extParam=ivf%3Dfalse%26keyword%3Donitsuka&src=topads
29,Sepatu Onitsuka Tiger Tokuten Novelship Beight Tan - 37,Rp1.266.850,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/3/14/57533220-dabf-4d69-9372-6abeb55d61a3.jpg.webp?ect=4g,https://www.tokopedia.com/onitsuka-official/sepatu-onitsuka-tiger-tokuten-novelship-beight-tan-1731012961457244139?extParam=ivf%3Dfalse%26keyword%3Donitsuka&src=topads
30,Ontska Tiger / Slip-on / Cream Navy / Original / Unisex,Rp399.000,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/11/30/0d6cb325-03bc-4c44-a9aa-971bf5d368ed.jpg.webp?ect=4g,https://www.tokopedia.com/onitsukatiger-/ontska-tiger-slip-on-cream-navy-original-unisex-35-93d83?extParam=ivf%3Dfalse%26keyword%3Donitsuka&src=topads
31,Onitsuka Tiger Serrano Cl Cream Steeple Grey Original Authentic,Rp3.100.000,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/3/14/7fbef92c-c018-4ac9-9235-d30553c9a96d.jpg.webp?ect=4g,https://www.tokopedia.com/needshoes1/onitsuka-tiger-serrano-cl-cream-steeple-grey-original-authentic?extParam=ivf%3Dfalse%26keyword%3Donitsuka%26search_id%3D202504300323102B8796CF51771C3D3JOD%26src%3Dsearch
