no,name,price,asset_url,link,store_id,location,store_name,rating
1,Air Jordan Anti Crease Wrinkle Kerut Sneakers Shoe Shield Basket Besar,Rp9.500,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,https://www.tokopedia.com/connoish/air-jordan-anti-crease-wrinkle-kerut-sneakers-shoe-shield-basket-besar-putih-small-kecil?extParam=ivf%3Dfalse%26keyword%3Dair+jordan%26search_id%3D2025043004015604A26D2375B105195VBU%26src%3Dsearch,connoish,Tangerang Selatan,Connoish,4.9
2,Nike Air Jordan Rise Cap Metal Logo Black FD5186-010 Topi Original,Rp499.004,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,https://www.tokopedia.com/cekidotgan/nike-air-jordan-rise-cap-metal-logo-black-fd5186-010-topi-original-s-m-74f11?extParam=ivf%3Dfalse%26keyword%3Dair+jordan%26search_id%3D2025043004015604A26D2375B105195VBU%26src%3Dsearch,cekidotgan,Jakarta Barat,CekidotGan,5.0
3,Kaos Kaki AJ Air Jordan dry fit medium cutting tebal,Rp34.500,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,https://www.tokopedia.com/beststuffjkt/kaos-kaki-aj-air-jordan-dry-fit-medium-cutting-tebal-abu-abu-1-pair?extParam=ivf%3Dfalse%26keyword%3Dair+jordan%26search_id%3D2025043004015604A26D2375B105195VBU%26src%3Dsearch,beststuffjkt,Jakarta Utara,beststuffjkt,4.9
4,AIR JORDAN ANTI CREASE SHIELDS universal sneaker Shields Anti crease,Rp5.950,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,https://www.tokopedia.com/snekearsarw/air-jordan-anti-crease-shields-universal-sneaker-shields-anti-crease-kecil-putih?extParam=ivf%3Dfalse%26keyword%3Dair+jordan%26search_id%3D2025043004015604A26D2375B105195VBU%26src%3Dsearch,snekearsarw,Kab. Bekasi,SNEAKERS ARW ORIGINAL,4.9
5,Airpods pro case air jordan,Rp28.000,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,https://www.tokopedia.com/cnfemporium/airpods-pro-case-air-jordan-merah-airpods-1-2?extParam=ivf%3Dfalse%26keyword%3Dair+jordan%26search_id%3D2025043004015604A26D2375B105195VBU%26src%3Dsearch,cnfemporium,Jakarta Barat,Case & Figure Emporium,4.6
6,Sepatu Basket Pria Air Jordan Tatum 2 Gpx Pf 100% Original HJ4421-400,Rp954.500,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/1/16/9845e403-0ed6-479b-9393-5dd59b0f9f66.jpg.webp?ect=4g,https://www.tokopedia.com/allstarbasketball/sepatu-basket-pria-air-jordan-tatum-2-gpx-pf-100-original-hj4421-400-1730790825272051055?extParam=ivf%3Dfalse%26keyword%3Dair+jordan%26search_id%3D2025043004015604A26D2375B105195VBU%26src%3Dsearch,allstarbasketball,Jakarta Barat,ALLSTAR BASKETBALL FACTORY OUTLET,5.0
7,Iron Patch Jordan Air Nike,Rp8.600,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/10/12/19471c7b-4ad6-4046-8261-de758d1c0996.jpg.webp?ect=4g,https://www.tokopedia.com/renedelweiss/iron-patch-jordan-air-nike-putih?extParam=ivf%3Dfalse%26keyword%3Dair+jordan%26search_id%3D2025043004015604A26D2375B105195VBU%26src%3Dsearch,renedelweiss,Jakarta Barat,edelweiss jaya,5.0
8,AIR JORDAN VELOCITY DUFFLE BAG,Rp300.000,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/8/13/48b22c4a-4410-4a96-8f5d-6f0fa310aba1.jpg.webp?ect=4g,https://www.tokopedia.com/warriorsofficialstore/air-jordan-velocity-duffle-bag?extParam=ivf%3Dfalse%26keyword%3Dair+jordan%26search_id%3D2025043004015604A26D2375B105195VBU%26src%3Dsearch,warriorsofficialstore,Jakarta Selatan,WARRIORS OFFICIAL STORE,5.0
9,Sneakers Nike Air Jordan 1 Low White Wolf Grey Authentic 100% BNIB Nike COD,Rp559.720,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/9/22/9f6331f6-4520-4742-b656-8ec806025173.png.webp?ect=4g,https://www.tokopedia.com/brandsneakers/sneakers-nike-air-jordan-1-low-white-wolf-grey-authentic-100-bnib-nike-cod-black-red-white-36-1d925?extParam=ivf%3Dfalse%26keyword%3Dair+jordan%26search_id%3D2025043004015604A26D2375B105195VBU%26src%3Dsearch,brandsneakers,Jakarta Barat,Brand sneakers king store,4.9
10,Baju Basket Air Jordan Stephen Curry Golden State Warriors Statement E,Rp689.500,https://images.tokopedia.net/img/cache/200-square/hDjmkQ/2024/12/10/df3bef16-9313-4f48-90b6-40974f466e9e.png.webp?ect=4g,https://www.tokopedia.com/ncrsport/baju-basket-air-jordan-stephen-curry-golden-state-warriors-statement-e-s-c3f96?extParam=ivf%3Dfalse%26keyword%3Dair+jordan%26search_id%3D2025043004015604A26D2375B105195VBU%26src%3Dsearch,ncrsport,Bandung,Ncr Sport,5.0
